text,true_label,pred_label
weeks savamob member offers accessible call 08709501522 details savamob pobox 139 la3 2wu 1 50 week savamob offers mobile,smishing,ham
guaranteed 1000 cash 2000 prize claim yr prize call customer service representative 08714712394 10am 7pm,smishing,smishing
log 4 wat sdryb8i,ham,ham
like love arrange,ham,ham
records indicate involved accident last 2 5 years entitled claim compensation reply claim info stop opt,smishing,smishing
haha dont angry take practice real thing,ham,ham
ur face test 1 2 3 4 5 6 7 8 9 lt gt select number tell ur face astrology waiting quick reply,ham,ham
double mins txts 4 6months free bluetooth orange available sony nokia motorola phones call mobileupd8 08000839402,spam,spam
ya ok vikky vl c witin lt gt mins il reply u,ham,ham
jus reached home go bathe first sis using net tell u finishes k,ham,ham
wat happened cruise thing,ham,ham
rounder required,ham,ham
freemsg feelin kinda lnly hope u like 2 keep company jst got cam moby wanna c pic txt reply date 82242 msg150p 2rcv hlp 08712317606 stop 82242,spam,ham
tkts euro2004 cup final 800 cash collect call 09058099801 b4190604 pobox 7876150ppm,smishing,smishing
come ur home,ham,ham
dont know supports ass srt thnk think ps3 play usb,ham,ham
please give us connection today lt decimal gt refund bill,ham,ham
free polyphonic ringtone text super 87131 get free poly tone week 16 sn pobox202 nr31 7zs subscription 450pw,spam,spam
meet top 35 us universities delhi india habitat centre lodhi road nov 8th 2 6 pm student admission entry free details contact 9911489000,spam,ham
evening v good somewhat event laden fill worry head ok throat wrecked see six,ham,ham
hanging brother family,ham,ham
freemsg hey buffy 25 love satisfy men home alone feeling randy reply 2 c pix qlynnbv help08700621170150p msg send stop stop txts,spam,spam
said matter mind saying matter,ham,ham
lol ouch wish stayed bit longer,ham,ham
yo way could pick something tonight,ham,ham
k u bored come home,ham,ham
hmm ill think ok forgiven,ham,ham
try making another butt,ham,ham
oh rite well im best mate pete went 4 week 2geva longer week,ham,ham
good sleep rhythm person establish rhythm body learn use want know,ham,ham
hi u want join sts later meeting five call u class,ham,ham
also remember beads come ever,ham,ham
aight still want get money,ham,ham
girls bba mba executive mba b sc bio tech b tech flexible timings govt recognized join bsaitm vikaspuri 9873000679 9650354070,spam,ham
money money aint thing sha,ham,ham
really dun bluff leh u sleep early nite,ham,ham
urgent ireland gov issued payment 350 residents part promise battle covid 19 tap apply,smishing,smishing
hi baby im sat bloody bus mo wont home 7 30 wanna somethin later call later ortxt back jess xx,ham,ham
din tell u jus 420,ham,ham
urgent 2nd attempt contact u 900 prize yesterday still awaiting collection claim call 09061702893 acl03530150pm,smishing,smishing
happy birthday may u find ur prince charming soon u stay happy,ham,ham
last chance claim ur 350 worth discount vouchers today text shop 85023 savamob offers mobile cs savamob pobox84 m263uz,smishing,smishing
usual iam fine happy amp well u,ham,ham
k k also fine complete course,ham,ham
wil lt gt minutes got space,ham,ham
final chance claim ur 150 worth discount vouchers today text yes 85023 savamob member offers mobile cs savamob pobox84 m263uz 3 00 subs 16,smishing,smishing
anyway think secure anything lemme know want drive south chill,ham,ham
hey rite u put 10 evey mnth,ham,ham
ok happen behave like,ham,ham
want new nokia 3510i colour phone delivered tomorrow 200 free minutes mobile free camcorder reply call 8000930705,smishing,smishing
k go sleep well take rest,ham,ham
gsoh good ladies u could b male gigolo 2 join uk fastest growing mens club reply oncall mjzgroup 08714342399 2stop reply stop msg 1 50rcvd,spam,spam
dont message offer,ham,ham
house maid murderer coz man murdered 26th january,ham,ham
let know contact settled room lets know ok,ham,ham
borrow ur bag ok,ham,ham
dear umma called,ham,ham
call,ham,smishing
picked receipt something earlier,ham,ham
da car park,ham,ham
aight get later,ham,ham
wat da model num ur phone,ham,ham
give us back id proof lt gt rs wont allow work come home within days,ham,ham
thanks yesterday sir wonderful hope enjoyed burial mojibiola,ham,ham
eatin later eatin wif frens lei going home first,ham,ham
sorry call later urgent work,ham,ham
great trip india bring light everyone project everyone lucky see smile bye abiola,ham,ham
u definitely need module e humanities dis sem izzit u wan 2 take modules 1st,ham,ham
sms auction brand new nokia 7250 4 auction today auction free 2 join take part txt nokia 86021,spam,spam
search 4 happiness 1 main sources unhappiness accept life way comes u find happiness every moment u live,ham,ham
understand loss gain work school,ham,ham
bus way calicut,ham,ham
26th july,ham,ham
need person give na,ham,ham
heard anything answering texts guessing flaked said jb fantastic,ham,ham
havent shopping lor juz arrive,ham,ham
come online today night,ham,ham
thought bout drink tap spile seven pub gas st broad st canal ok,ham,ham
u wan 2 haf lunch da canteen,ham,ham
good evening ttyl,ham,ham
know u u know send chat 86688 let find 150p msg rcvd,spam,ham
dear customer pyatm wallet booked hold amount please complete kyc contact customer care 7908807538,smishing,smishing
one day crab running sea shore waves came n cleared footprints crab crab asked frnd r u clearing beautiful footprints waves replied fox following ur footprints catch thats cleared frndsship never lets u dwn gud nyt,ham,ham
currently scotland,ham,ham
affidavit says lt gt e twiggs st division g courtroom lt gt lt time gt double check text tomorrow,ham,ham
free gift waiting collected simply call 08718738034,smishing,smishing
babe need advice,ham,ham
know wait check,ham,ham
u secret admirer reveal thinks u r special call 09065174042 opt reply reveal stop 1 50 per msg recd cust care 07821230901,smishing,smishing
mmm thats better got roast b better drinks 2 good indian,ham,ham
might want pull case plan spending much confidence derek taylor money management,ham,ham
thought king hill thing,ham,ham
miss call miss call khelate kintu opponenter miss call dhorte lage thats rule one great phone receiving quality wins,ham,ham
excellent spent lt gt years air force iraq afghanistan stable honest like traveling,ham,ham
happy babe woo hoo party dude,ham,ham
say slowly god love need,ham,ham
haha got fast lose weight thk muz go 4 month den got effect gee later go aust put bk e weight,ham,ham
make 3 4 sake x,ham,ham
wen get spiritual deep great,ham,ham
jade paul u txt u remember barmed want 2 talk 2 u txt,ham,spam
ur hmv quiz cash balance currently 500 maximize ur cash send hmv1 86688 150p msg,spam,spam
yup havent want go yoga call book,ham,ham
going lunch,ham,ham
hi babe thanks coming even though didnt go well wanted bed hope see soon love kisses xxx,ham,ham
thanks subscription ringtone uk mobile charged 5 month please confirm replying yes reply charged,spam,spam
thanks talk saturday dear cherish brother role model,ham,ham
hope feeling great pls fill abiola,ham,ham
well know z take care worries,ham,ham
huh 6 also cannot many mistakes,ham,ham
phony 350 award todays voda numbers ending xxxx selected receive 350 award match please call 08712300220 quoting claim code 3100 standard rates app,smishing,smishing
take phone callon friday assume year,ham,ham
regret inform nab card locked unlock please update security details,smishing,ham
hi home calicut,ham,ham
u gd lor go shopping got stuff u wan 2 watch infernal affairs come lar,ham,ham
claim 200 shopping spree call 08717895698 mobstorequiz10ppm,smishing,smishing
made day great day,ham,ham
dear customer pyatm wallet booked hold amount please complete kyc contact customer care 8536074310,smishing,smishing
oi ami parchi na kicchu kaaj korte iccha korche na phone ta tul na plz plz,ham,ham
goodmorning sleeping ga,ham,ham
dear ok,ham,ham
world suffers lot violence bad people silence good people gud night,ham,ham
u repeat e instructions wat e road name ur house,ham,ham
7 wonders world 7th 6th ur style 5th ur smile 4th ur personality 3rd ur nature 2nd ur sms 1st ur lovely friendship love u dear,ham,ham
sorry call later meeting,ham,ham
purity friendship two smiling reading forwarded message smiling seeing name gud evening stay blessed,ham,ham
stop knowing well,ham,ham
broke list reasons nobody town tell sarcastic faggy,ham,ham
sea lays rock rock envelope envelope paper paper 3 words guess,ham,ham
save money wedding lingerie choose superb selection national delivery brought weddingfriend,spam,ham
yup noe leh,ham,ham
ard 4 lor,ham,ham
message text missing sender name missing number missing sent date missing missing u lot thats everything missing sent via fullonsms com,ham,ham
well officially philosophical hole u wanna call home ready saved,ham,ham
like personal sized,ham,ham
dear v0daf0ne customer 5 00 000 winner guaranteed caller prize final attempt contact claim call 7044518857,smishing,smishing
promise getting soon text morning let know made ok,ham,ham
missing pray inshah allah,ham,ham
free unlimited hardcore porn direct 2 mobile txt porn 69200 get free access 24 hrs chrgd 50p per day txt stop 2exit msg free,spam,spam
erm woodland avenue somewhere get parish magazine telephone number,ham,ham
like made throw smoking friend car one time awesome,ham,ham
sms ac sptv new jersey devils detroit red wings play ice hockey correct incorrect end reply end sptv,spam,ham
call meet,ham,ham
liked new house,ham,ham
im done studyn library,ham,ham
may b approve panalam posts,ham,ham
ok wait u talk,ham,ham
pay first lar da stock comin,ham,ham
reply name address receive post weeks completely free accommodation various global locations ph 08700435505150p,smishing,ham
go walmart stay,ham,ham
hear loud scream lt gt minutes cause gyno shoving things belong,ham,ham
left already orchard,ham,ham
missed call cause yelling scrappy miss u wait u come home lonely today,ham,ham
k roommate also wants dubsack another friend may also want plan bringing extra tell know sure,ham,ham
wanna gym harri,ham,ham
yep derek house see sunday lt 3,ham,ham
samus shoulders yet,ham,ham
aight call close,ham,ham
ok noe u busy really bored msg u oso dunno wat colour choose 4 one,ham,ham
boltblue tones 150p reply poly mono eg poly3 1 cha cha slide 2 yeah 3 slow jamz 6 toxic 8 come stop 4 tones txt,spam,spam
thing apes u fight death keep something minute u let go thats,ham,ham
got called tool,ham,ham
stop calling everyone saying might cancer throat hurts talk answering everyones calls get one call babysitting monday,ham,ham
really need shit tomorrow know awake like 6,ham,ham
u still painting ur wall,ham,ham
apple id buxcx7gbvwwccod final notification apple 1d due expire today prevent confirming apple id apple inc,smishing,ham
planning come chennai,ham,ham
class holla later,ham,ham
lmao ok wont needing u hair anymore,ham,ham
said okay sorry,ham,ham
apple detected unauthorized sign cloud account message goes without reply apple forced suspend account please verify icloud device sending correct apple id password via text message,smishing,ham
single line big meaning miss anything 4 ur best life miss ur best life anything,ham,ham
goodo yes must speak friday egg potato ratio tortilla needed,ham,ham
went ur hon lab one,ham,ham
one days billion classes right,ham,ham
thank u,ham,ham
err cud going 8pm got way contact,ham,ham
nova medical centers conducts shoulder pain clinic mar 5th consult renowned shoulder specialists dr mahesh reddy dr jatty call 9686578312 9980295914,spam,ham
hi sexychat girls waiting text text great night chatting send stop stop service,spam,spam
many company tell language,ham,ham
sorry call later buzy,ham,ham
u come n search tat vid finishd,ham,ham
think thanks see tomo,ham,ham
gonna home soon want talk stuff anymore tonight k ileave topic,ham,ham
call 08707509020 20p per min ntt ltd po box 1327 croydon cr9 5wb 0870 national rate call,spam,smishing
got outta class gonna go gym,ham,ham
congratulations ore mo owo wa enjoy wish many happy moments fro wherever go,ham,ham
yup ok thanx,ham,ham
brother genius,ham,ham
willing live local text reply hear strt back 150p per msg netcollex ltdhelpdesk 02085076972 reply stop end,spam,spam
joy father john john name joy father mandan,ham,ham
spoke uncle john today strongly feels need sacrifice keep going call beg listen dont make promises make clear things easy need please let us work things long keep expecting help creativity stifled pls keep happy promises part,ham,ham
know lacking particular dramastorm details part worried,ham,ham
hold paytm amount sometime complete paytm kyc paytm office ph 7908807538,smishing,smishing
someone u know asked dating service 2 contact cant guess call 09058091854 revealed po box385 m6 6wu,smishing,smishing
get hep b immunisation nigeria,ham,ham
much blackberry bold2 nigeria,ham,ham
haha good hear officially paid market 8th,ham,ham
private 2003 account statement 07808247860 shows 800 un redeemed points call 08719899229 identifier code 40411 expires 06 11 04,smishing,smishing
dunno leh cant remember mayb lor wat time r meeting tmr,ham,ham
reason spoken year anyways great week best exam,ham,ham
yeah try scrounge something,ham,ham
lol real told dad cancer,ham,ham
ok fine,ham,ham
schedule next week town weekend,ham,ham
uploaded mine facebook,ham,ham
nationwide noticed debit card recently used 29 11 2016 15 04 43 apple online store 1267 00 gbp please urgently call fraud prevention 03303800231 int 443303800231 reply sms,smishing,smishing
sorry call later 30 mins,ham,ham
hey girl r u hope u r well del r bak long time c give call sum time lucyxx,ham,ham
toshiba portege m100 gd,ham,ham
hanks lotsly,ham,ham
derp worse dude always wants party dude files complaint three drug abusers lives,ham,ham
kallis dismissial 2nd test,ham,ham
money issue weigh thanks breathe easier make sure dont regret thanks,ham,ham
dad says hurry hell,ham,ham
finally ready fyi,ham,ham
valued customer pleased advise following recent review mob awarded 1500 bonus prize call 09066368470,smishing,smishing
yes please leave lt gt lt gt leave,ham,ham
urgent mobile number awarded inr 2 00 000 prize guaranteed call 7044518857 land line claim 3030 valid 12hrs,smishing,smishing
hot live fantasies call 08707509020 20p per min ntt ltd po box 1327 croydon cr9 5wb 0870 k,spam,spam
need 8th campus atm could pick hour two,ham,ham
chance might evaporated soon violated privacy stealing phone number employer paperwork cool please contact report supervisor,ham,ham
tomarrow want got court lt decimal gt come bus stand 9,ham,ham
told accenture confirm true,ham,ham
got lousy sleep kept waking every 2 hours see cat wanted come worry cold,ham,ham
shall ask one thing dont mistake,ham,ham
k evening da urgent,ham,ham
sms services inclusive text credits pls goto login 3qxj9 unsubscribe stop extra charge help 08702840625 comuk 220 cm2 9ae,spam,spam
hi got money da,ham,ham
hungry buy smth home,ham,ham
u go phone gonna die stay,ham,ham
plz tell ans bslvyl sent via fullonsms com,ham,ham
yes watching footie worried going blow phil neville,ham,ham
friends help us problems give stupid suggestion lands us another problem helps us forgt previous problem,ham,ham
prob send email,ham,ham
k k tomorrow onwards started ah,ham,ham
u drive lor,ham,ham
heard abt tat,ham,ham
sure make sure knows smokin yet,ham,ham
aight let know gonna around usf,ham,ham
still playing gautham,ham,ham
hav almost reached call unable connect u,ham,ham
umma say anything,ham,ham
alrite sam nic checkin ur number b,ham,ham
oh 4 outside players allowed play know,ham,ham
dear customer pay2tmkyc expired bl0cked within 24 hour please contact customer care ph 7679046492 immediately verify,smishing,smishing
dice art class 6 thru 9 thanks though idea time come tomorrow,ham,ham
text82228 get ringtones logos games questions info txt82228 co uk,spam,spam
k jason says gonna around around lt gt,ham,ham
babe goes day sip cappuccino think love send kiss across sea,ham,ham
even brother like speak treat like aids patent,ham,ham
freemsg fancy flirt reply date join uks fastest growing mobile dating service msgs rcvd 25p optout txt stop 83021 reply date,spam,spam
saying explicitly told nora know someone probably gonna bother,ham,ham
hand phone chat wit u,ham,ham
er yep sure props,ham,ham
got mail panren paru,ham,ham
thanx4 today cer nice 2 catch ave 2 find time often oh well take care c u soon c,ham,ham
u wake already wat u u picking us later rite taking sq825 reaching ard 7 smth 8 like dat u check e arrival time c ya soon,ham,ham
hi way u 2day normal way real ur unique hope know u 4 rest mylife hope u find wot lost,ham,ham
searching right words thank breather promise wont take help granted fulfil promise wonderful blessing times,ham,ham
message free welcome new improved sex dogging club unsubscribe service reply stop msgs 150p 18,spam,spam
help u swoop picking u wherever ur birds r meeting u want,ham,ham
gud mrng dear hav nice day,ham,ham
sorry flaked last night shit seriously goin roommate tonight,ham,ham
office da,ham,ham
sucks go u hair free right,ham,ham
xclusive clubsaisai 2morow 28 5 soiree speciale zouk nichols paris free roses 2 ladies info 07946746291 07880867867,smishing,ham
local covid19 study compensation 1 220 qualify 1200cash4study1 com,smishing,ham
great attracts brothas,ham,ham
cutest girl world,ham,ham
use foreign stamps whatever send,ham,ham
hope arnt pissed id would really like see tomorrow love xxxxxxxxxxxxxx,ham,ham
ok anyway need change said,ham,ham
sis lor juz watched italian job,ham,ham
mah b pick tomorrow,ham,ham
hey darlin pick u college u tell wen 2 mt love pete xx,ham,ham
enjoy jamster videosound gold club credits 2 new videosounds 2 logos musicnews get fun jamster co uk 16 help call 09701213186,spam,spam
rushing working school rush go hungry,ham,ham
r u still working,ham,ham
atm block dear customer due system upgrade atm card de activated activate call customer care help 07068796424,smishing,smishing
phone weirdest auto correct,ham,ham
wonder phone battery went dead tell love babe,ham,ham
u mean u almost done done wif sleeping tot u going take nap yup send liao picking ard 4 smth lor,ham,ham
ok bag,ham,ham
expect whenever text hope goes well tomo,ham,ham
u gonna get deus ex,ham,ham
short cute good person dont try prove good morning,ham,ham
orange customer may claim free camera phone upgrade loyalty call 0207 153 9996 offer ends 14thmarch c apply opt availa,smishing,smishing
free entry 2 wkly comp win fa cup final tkts 21st may 2005 text fa 87121 receive entry question std txt rate c apply 08452810075over18,spam,spam
done oredi,ham,ham
said went back bed sleep anything,ham,ham
u secret admirer looking 2 make contact u find r reveal thinks ur special call 09058094599,smishing,smishing
sms ac blind date 4u rodds1 21 aberdeen united kingdom check sms ac w icmb3cktz8r7 4 blind dates send hide,smishing,ham
wait msg lt gt min,ham,ham
ffffffffff alright way meet sooner,ham,ham
love brother time talk english grins say hey muhommad penny says hello across sea,ham,ham
significant dont worry,ham,ham
replying boye changed phone number,ham,ham
noe da car later c lar wearing shorts,ham,ham
near kalainar tv office thenampet,ham,ham
storming msg wen u lift phne u say hello u knw wt real meaning hello name girl yes u knw dat girl margaret hello girlfrnd f grahmbell invnted telphone g n g h,ham,ham
sms services inclusive text credits pls goto login unsubscribe stop extra charge help 08700469649 po box420 ip4 5we,spam,spam
hey happen de alright,ham,ham
specially selected receive 2000 pound award call 08712402050 lines close cost 10ppm 16 cs apply ag promo,smishing,smishing
aiyo u poor thing u dun wan 2 eat u bathe already,ham,ham
wat time u wan 2 meet later,ham,ham
id check like 1 bowls worth left,ham,ham
yep great loxahatchee xmas tree burning lt gt starts hour,ham,ham
sms auction brand new nokia 7250 4 auction today auction free 2 join take part txt nokia 86021 hg suite342 2lands row w1j6hl,spam,spam
free today haf 2 pick parents tonite,ham,ham
thinking lifting one,ham,ham
wishing great day moji told offer always speechless offer easily go great lengths behalf stunning exam next friday keep touch sorry,ham,ham
oh thkin goin yogasana 10 den nd go 3 den rush parco 4 nb okie lor u call ready,ham,ham
machan go gym tomorrow wil come late goodnight,ham,ham
hey booked 2 lessons sun liao,ham,ham
aight lemme know,ham,ham
oh icic k lor den meet day,ham,ham
january male sale hot gay chat cheaper call 08709222922 national rate 1 5p min cheap 7 8p min peak stop texts call 08712460324 10p min,spam,spam
run away frm u walk slowly amp kills u care enough stop,ham,ham
see film,ham,ham
subscribe weekly ringtone get 1st week free send subpoly 81618 3 per week stop sms 08718727870,spam,spam
bruv hope great break rewarding semester,ham,ham
excellent wish together right,ham,ham
dropped em omw back,ham,ham
sorry mates phone didnt write love kate,ham,ham
shame maybe cld meet hrs tomo,ham,ham
dear sir salam alaikkum pride pleasure meeting today tea shop pleased send contact number qatar rakhesh indian pls save number respectful regards,ham,ham
login dat time dad fetching home,ham,ham
friendship poem dear dear u r near hear dont get fear live cheer tear u r always dear gud ni8,ham,ham
working technical support voice process,ham,ham
oh god happy see message 3 days,ham,ham
yeah basically time next week get away mom amp get 3,ham,ham
4mths half price orange line rental latest camera phones 4 free phone 11mths call mobilesdirect free 08000938767 update or2stoptxt,spam,smishing
strange watching 2nd one bed sweet dreams miss u,ham,ham
lol mad first woke gave,ham,ham
jay told already,ham,ham
way home long dry spell season would,ham,ham
sorry da thangam mistake,ham,ham
time coming later,ham,ham
home,ham,ham
ok right later,ham,ham
aldrine rakhesh ex rtm pls call urgent,ham,ham
someone year lt gt toyota camry like mr olayiwola mileage lt gt k clean need know much sell raise dough soon landing sell holla back,ham,ham
heard job going wildlife talk tonight u want2come that2worzels wizzle whatever,ham,ham
lunch come quickly open door,ham,ham
today accept day u accept,ham,ham
take exam march 3,ham,ham
yup song bro creative neva test quality said check review online,ham,ham
pick drop car problem,ham,ham
wan go c doctor,ham,ham
left dessert u wan 2 go suntec look 4 u,ham,ham
oh send address,ham,ham
time u wrkin,ham,ham
hi engagement fixd lt gt th next month know really shocking bt hmm njan vilikkam ws al sudn,ham,ham
ya onion roast,ham,ham
yes really great bhaji told kallis best cricketer sachin world tough get,ham,ham
reat deals mobilestore get rs 100 mobile purchases rs 5000 rush offer valid till 21st feb show mcoupon rpd897348602131 c,spam,ham
cthen thk shd b enuff still got conclusion n contents pg n references b da contents pg n cover pg,ham,ham
eh u remember 2 spell name yes naughty met,ham,ham
welcome please reply age gender begin e g 24m,spam,ham
sorry sir call tomorrow senthil hsbc,ham,ham
creepy crazy,ham,ham
hi finally completed course,ham,ham
sorry,ham,ham
urgent 4 costa del sol holiday 5000 await collection call 09050090044 toclaim sae tc pobox334 stockport sk38xh cost 1 50 pm max10mins,smishing,smishing
hey forget mine possession property mmm childish smile,ham,ham
oh k k take test,ham,ham
true k u knw dis lt gt,ham,ham
really sorry b able 2 friday hope u find alternative hope yr term going ok,ham,ham
bognor splendid time year,ham,ham
nokia 7250i get win free auction take part send nokia 86021 hg suite342 2lands row w1jhl 16,smishing,spam
completed degree use joining finance,ham,ham
yeah think use gt atm register sure anyway help let know sure ready,ham,ham
yeah see,ham,ham
opinion 1 oversmart 2 selfish 3 naughy 4 lovable 5 silent 6 special 7 immature 8 stylish 9 simple pls reply,ham,ham
working eyes philosophy text u later bit free chat,ham,ham
,ham,ham
sorry call later ok bye,ham,ham
good good job like entrepreneurs,ham,ham
know serving mean,ham,ham
sorry going home first daddy come fetch later,ham,ham
check rooms befor activities required,ham,ham
sorry battery died come getting gram place,ham,ham
sorry knw,ham,ham
wat time wan today,ham,ham
send number give reply tomorrow morning said like ok,ham,ham
loa homeowners tenants welcome previously refused still help call free 0800 1956669 text back help,smishing,smishing
finished lunch already u wake already,ham,ham
wanna get laid 2nite want real dogging locations sent direct ur mobile join uk largest dogging network txt park 69696 nyt ec2a 3lp 1 50 msg,spam,spam
dhoni luck win big title win,ham,ham
ok days making dinner tonite invited,ham,ham
feel like dick keep sleeping texts facebook messages sup town,ham,ham
mobile number pls sms ur mail id convey regards achan amma rakhesh qatar,ham,ham
full heat pa applyed oil pa,ham,ham
4 costa del sol holiday 5000 await collection call 09050090044 toclaim sae tc pobox334 stockport sk38xh cost 1 50 pm max10mins,smishing,smishing
sounds like many talents would like go dinner date next week,ham,ham
bday real april,ham,ham
hello love goes day wish well fine babe hope find job prospects miss boytoy teasing kiss,ham,ham
waking 4 afternoon sup,ham,ham
